hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
"The Chatwal, a Luxury Collection Hotel, New York City",10036,123,8.9,9.4,9,8.7,9.1,7.8,8.4,9.6,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.8,2
Heart of Midtown,10022,22,8.7,8.8,8.2,8.5,9.1,8.4,8.8,9.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2
Sofitel New York,10036,1357,8.6,8.8,8.7,8.3,8.7,7.5,8,9.3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.9,2
Times Square HighLine Two Bedroom,10036,15,9.2,8.8,8.8,8.7,10,9.1,9.8,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.9,2
Lotte New York Palace,10022,1787,8.8,9,9,8.5,8.6,7.9,4.2,9.6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.8,2
Sanctuary NYC Retreats,10002,399,8.8,8.8,8.9,8.7,9,8.6,8.4,8.6,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,3.1,2
Homewood Suites Midtown Manhattan Times Square South,10018,1943,8.9,9,8.9,8.8,9,8.3,8.6,9.2,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1.1,2
The Roger,10016,1562,8.4,8.7,8.4,8,8.6,7.5,8.6,9,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1.6,2
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,10001,1084,8.1,8.2,7.7,7.8,8.7,7.5,8.2,8.9,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1.6,2
Ameritania at Times Square,10019,2578,8.2,8.3,8,7.6,8.4,7.7,4.9,9.3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1500,2
Four Points by Sheraton Manhattan Chelsea,10001,1431,8.1,8.3,7.9,7.7,8.7,7.6,8.4,8.7,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1.7,2
Walker Hotel Greenwich Village,10011,1023,8.4,8.7,8.1,8,8.8,7.4,8.8,9.3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2.3,2
John Street Apartment,10038,7,8.4,8.2,8.9,8.6,7.9,7.9,8.9,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3.7,1
Element Times Square West,10018,8114,8,7.8,7.9,7.6,8.1,7.5,8.7,8.9,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,2
The Roxy Hotel Tribeca,10013,1382,8.9,9.1,9,8.9,9,8.2,8.7,9.3,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.1,2
Hotel Wales,10128,750,8.1,8.4,7.9,7.6,8.4,7.4,8.6,8.8,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1.8,2
Four Points by Sheraton New York Downtown,10038,3952,8.1,8.4,8.1,7.8,8.2,7.5,8.4,8.3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,4.3,2
Loews Regency New York Hotel,10065,456,8.8,9.1,9,8.7,8.8,7.9,8.9,9.4,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.7,2
Grand Hyatt New York,10017,4618,7.8,7.8,7.8,7.5,7.8,6.9,8.1,9,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.2,0
The Whitby Hotel,10019,196,9.5,9.9,9.7,9.6,9.6,8.6,9.5,9.6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,2600,2
Holiday Inn Manhattan Financial District,10006,1689,8.1,8.4,8.1,7.7,8.3,7.5,8.8,8.8,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,4.3,2
11 Howard,10013,621,8.5,8.8,8.3,8,8.9,7.6,9.3,9.2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,3.1,2
The Frederick Hotel,10007,1579,8.3,8.9,8,7.7,8.6,7.8,8,9,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,3.7,2
Orchard Street Hotel,10003,1156,8.3,8.6,7.7,7.6,9,7.7,8.4,9,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,3.1,2
Hotel Hugo,10013,981,8.1,8.5,8.1,8,8.4,7.5,7.4,8.4,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,3.1,2
"The Pierre, A Taj Hotel, New York",10065,323,9,9.3,9.1,8.7,9.3,7.8,8.3,9.6,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,3100,2
Hyatt Union Square New York,10003,543,8.7,9,8.7,8.5,9,7.6,8.6,9.2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,2.5,2
Club Quarters Hotel World Trade Center,10006,1496,8.6,8.8,8.5,8.5,8.6,8.1,9,9.1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,4.3,2
DoubleTree Suites by Hilton NYC - Times Square,10036,1877,8.2,8.1,8.1,7.9,8.1,7.3,5.9,9.3,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0.7,2
Seton Hotel,10016,1036,8.3,8.7,7.8,7.7,8.6,7.6,8.9,9.1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1.3,2
AKA Sutton Place,10022,103,9.1,9.2,9.1,9,9.6,8.5,8.3,9.1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1.1,2
Courtyard by Marriott New York Downtown Manhattan/World Trade Center Area,10006,1733,8.6,9.1,8.7,8.3,8.4,8,8.7,9,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,4.3,2
Courtyard New York Manhattan/Midtown East,10022,690,8.3,8.6,8.4,8,8.2,7.7,8.1,8.9,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,2
The Marcel at Gramercy,10010,1549,8.2,8.4,7.9,7.7,8.8,7.7,5.2,8.6,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,2,2
The Kitano Hotel New York,10016,801,8.7,9.1,8.9,8.4,8.8,7.9,5.2,4.2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1.3,1
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,10004,977,8.8,9.1,8.9,8.6,8.7,8.3,8.5,8.9,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,4.3,2
