hotel,Score,Cleanliness,Comfort
Playhouse,8.8,8.8,9.6
Encore Club Orlando,9.9,10.0,10.0
The Florida Hotel & Conference Center - BW Premier Collection,8.8,8.8,8.8
JW Marriott Orlando Grande Lakes,8.8,9.1,9.1
Best Western Lake Buena Vista – Disney Springs® Resort Area,8.3,8.1,8.1
Embassy Suites by Hilton- Lake Buena Vista Resort,8.4,8.3,8.5
Luxury Windsor Hills Condo,8.7,8.7,8.9
Homewood Suites by Hilton Lake Buena Vista,8.6,8.5,8.6
Fairfield Inn & Suites by Marriott Orlando Kissimmee/Celebration,8.9,9.1,9.0
Embassy Suites by Hilton Orlando International Drive I Drive 360,8.7,8.7,8.8
"Grand Bohemian Hotel Orlando, Autograph Collection",8.8,9.1,9.0
Embassy Suites Orlando - Downtown,8.7,8.9,8.7
Holiday Inn Orlando East-UCF Area,8.6,8.8,8.8
Clarion Inn & Suites Universal Studios Area,8.3,8.5,8.1
Hyatt Place Orlando Airport,8.6,8.7,8.8
Marriott's Harbour Lake,9.4,9.5,9.5
VISTA CAY DISNEY PARADISE 6,9.8,9.5,9.5
Gaylord Palms Resort & Convention Center,8.6,8.9,8.7
Hilton Garden Inn Orlando International Drive North,9.0,9.1,9.0
Park Plaza Hotel Orlando - Winter Park,8.3,8.7,7.8
Blue Tree Resort at Lake Buena Vista,8.4,8.1,8.2
"Castle Hotel, Autograph Collection",8.7,8.7,8.8
Tink's Movie Castle,9.8,10.0,10.0
Courtyard by Marriott Orlando Lake Nona,9.3,9.6,9.5
Wingate by Wyndham - Universal Studios and Convention Center,8.3,8.3,8.4
Hilton Garden Inn Orlando at SeaWorld,8.7,8.7,8.7
"Hawthorn Suites by Wyndham Lake Buena Vista, a staySky Hotel & Resort",8.1,7.7,8.1
Celebrate BR,8.9,8.8,8.6
Best Western Orlando Convention Center Hotel,8.2,8.2,7.9
DoubleTree Suites by Hilton Orlando at Disney Springs,8.4,8.5,8.5
Best Western International Drive - Orlando,8.1,8.0,7.8
Holiday Inn Resort Orlando - Lake Buena Vista,8.5,8.4,8.5
Autumn Villa IC049,8.6,8.0,8.6
Two Bedroom Townhouse in Oakwater Resort 27ow09,8.4,9.0,8.5
Crowne Plaza Hotel Orlando Downtown,8.3,8.7,8.6
Disney Home,9.2,9.3,9.5
Embassy Suites Orlando - Airport,7.9,7.8,8.5
Paradise Palms 5 Bedroom-3503,9.1,9.4,9.7
"Bluegreen Vacations The Fountains, Ascend Resort Collection",8.6,8.5,8.8
Mickey Family Vacation Home,8.7,8.3,8.7
Holiday Inn Express Hotel & Suites Orlando East-UCF Area,9.0,9.2,9.2
Quality Suites Orlando Kissimmee The Royale Parc Suites,8.2,8.0,8.2
Grand Lake & Lifetime of Vacations Resorts,8.7,8.6,8.5
Wyndham Lake Buena Vista Resort Disney Springs® Resort Area,8.5,8.7,8.5
"Bohemian Hotel Celebration, Autograph Collection",8.6,8.8,8.8
Parkside Palace,8.4,8.0,9.0
Orlando World Center Marriott,8.4,8.6,8.4
Hilton Orlando Bonnet Creek,8.8,9.0,9.0
Homewood Suites by Hilton Orlando-UCF Area,8.6,9.1,8.8
Six Bedrooms with Private Pool (1744),8.4,8.7,9.0
staySky Suites I-Drive Orlando,8.1,7.7,8.0
Vist Cay Inn,8.4,8.4,8.5
Eight Bedrooms with Private Pool and Grill (1760),8.6,7.9,8.8
Westgate Lakes Resort and Spa,8.2,8.2,8.3
Alamo Vacation Homes,8.1,8.4,8.5
Comfort Inn International Drive,8.1,7.9,8.0
Paradise IV,9.0,8.5,9.0
Orlando Airport Marriott Lakeside,8.4,8.5,8.5
Hilton Orlando Lake Buena Vista - Disney Springs™ Area,8.2,8.2,8.2
3 Bedroom Standard Kissimmee Home,9.2,9.5,9.0
Hampton Inn Orlando-Convention Center International Drive Area,8.4,8.4,8.4
Ramada Plaza Suites Universal Studios,8.0,7.8,8.0
Bryan's Spanish Cove By Diamond Resorts,9.1,9.0,9.2
Avanti International Resort Near The Parks,8.1,7.8,7.8
Westgate Town Center Resort,8.2,8.2,8.2
B Resort and Spa Located in Disney Springs Resort Area,8.2,8.1,8.3
Holiday Inn Resort Orlando Suites - Waterpark,8.0,7.9,8.2
Radisson Hotel Orlando - Lake Buena Vista,8.5,8.6,8.3
Comfort Inn Orlando - Lake Buena Vista,8.0,7.9,8.0
Quality Inn & Suites by the Lake,7.9,7.7,7.9
Regal Oaks Resort 5728,8.2,8.3,8.3
Buena Vista Suites,8.2,8.1,8.2
Comfort Suites Downtown,8.2,8.3,8.2
Quality Inn At International Drive Orlando,7.8,7.6,7.7
Orlando Disney Area - Windsor Hills Resort,8.6,8.1,9.0
La Quinta Inn Orlando Near Universal,7.8,7.6,7.6
Lake or Conservation View Vacation Homes,7.8,7.7,8.1
Quality Suites Lake Buena Vista near Walt Disney World,8.3,8.2,8.3
Wyndham Garden Lake Buena Vista Disney Springs® Resort Area,7.8,7.8,7.5
Red Lion Hotel Orlando Kissimmee Maingate,8.1,7.8,8.0
Fairfield Inn & Suites by Marriott Orlando Lake Buena Vista,8.7,8.8,8.7
Comfort Inn & Suites Convention Center,8.1,7.9,8.0
Sunsol International Drive,7.9,7.8,7.6
Westgate Palace Resort,8.2,8.1,8.2
DWS Vacation Villas,7.7,7.5,8.0
"Disney-World Orlando Area, U.S.A - Paradise Palms Resort",8.4,8.6,8.7
Regal Oaks 2716,8.0,7.9,7.9
Ramada by Wyndham Orlando Florida Mall,8.0,8.2,8.3
"8 Bedrooms with Private Pool, Spa and Grill (1803)",7.5,7.1,7.9
Days Inn by Wyndham Orlando Conv. Center/International Dr,7.4,7.0,7.1
Clarion Inn & Suites at International Drive,7.3,7.0,7.1
Parc Corniche Condominium Suites,8.1,7.6,8.0
Holiday Inn & Suites Orlando Universal,8.1,7.9,8.0
Floridian Express International Drive,7.0,6.1,6.7
Midpointe Hotel by Rosen Hotels & Resorts,7.7,7.5,7.3
Courtyard Orlando Lake Buena Vista at Vista Centre,8.4,8.4,8.4
Comfort Inn Maingate,7.9,7.6,7.9
Rodeway Inn Maingate,7.6,7.3,7.3
Westgate Blue Tree Resort,8.2,8.1,8.2
Baymont by Wyndham Orlando Universal Blvd,7.6,7.3,7.4
Econo Lodge International Drive,7.2,7.1,6.9
Quality Suites Orlando Close to I-Drive,7.2,6.9,7.1
Windsor Hills,8.1,7.8,8.0
La Quinta Inn Orlando Airport West,7.3,7.0,7.1
Crowne Plaza Hotel Orlando-Universal,8.1,8.2,8.2
