hotel,zip_code,numRev,Score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Laundry,Free WiFi.1,Air Conditioning,Pet Friendly,Elevator,Facilities for Disabled Guests,Bar,Non-smoking Rooms,Restaurant,24-Hour Front Desk,WiFi,Dist,Label
SoHo Garden Hotel,10013,1625,7.8,8,7.2,7.1,8.4,7.4,8,8.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,3.1,1
Incentra Village Hotel,10014,176,7.8,7.8,7.5,7,8.2,7.3,8.9,9.2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2.4,1
One Bedroom Apartment - Two Columbus Place,10019,9,7.5,7,7.2,7.5,7.5,6.7,9.2,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1150,2
NYC Townhouse Apartment,10026,34,8.7,8.5,8.2,8.5,9.6,8.2,10,9,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,3,0
Off SoHo Suites Hotel,10002,503,7.9,7.8,7.5,7.3,8.3,8,8.1,8.7,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,3.1,0
Luxurious Two Bedroom Apartment in Doorman Building - Lincoln Center,10023,11,8.1,8.9,8.4,8.2,7.5,7.3,8.4,6,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0.6,0
Comfort Inn Midtown West,10036,465,7.9,8,7.6,7.5,8.5,7.5,8,8.1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0.7,0
"Night Hotel Theater District, Times Square",10036,641,7.8,8,7.3,7.1,8.1,7,7.8,9.2,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0.8,1
"Studio 2 min Walk to Times Square, 9th Ave and Central Park",10019,29,8,7.9,7.8,7.7,8.7,7.3,10,9,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1800,0
The Ridge Hotel,10002,1413,7.9,8,7.3,7.3,8.7,7.6,7.4,8.7,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,3.1,0
Hampton Inn Seaport Financial District,10038,350,8.1,8.4,7.9,7.7,8.7,7.7,8.4,9,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,3.7,0
Nap York,10018,173,8.3,8.6,7.8,7.8,8.5,7.7,8.1,9.3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1.2,0
The GEM Hotel - Chelsea,10011,1976,7.7,7.7,6.9,7,8.5,7.2,8.1,8.8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1.9,1
Wyndham Garden Chinatown,10002,550,8,8.6,8.1,7.8,8,7.5,8.3,8.2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,3.1,0
Apartments Lincoln Center,10023,42,8.2,8,7.9,7.5,8.3,7.8,7.7,9.6,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1950,0
Courtyard by Marriott New York Manhattan / Soho,10014,195,8.6,8.8,8.6,8.2,9.1,7.9,8.9,9,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,3.1,0
Newly Renovated Three Bedroom Lower East Side,10002,13,8.3,8.5,7.1,7.9,9.6,7.9,10,9.1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.1,0
Hotel St. James,10036,635,7.9,8,7.2,6.9,8.4,7.7,8.1,9.4,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0.8,0
Spacious studio in an elevator concierge building,10017,9,8.3,7.8,7.5,7.8,8.9,8.1,10,9.5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1.4,0
"Marriott Vacation Club Pulse, New York City",10018,141,8.5,9,8.2,7.8,9.1,7.4,9,9.2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1.2,0
Times Square Studio,10019,41,8.3,7.7,7.9,8.2,8.6,8,8.3,9.2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1650,0
Holiday Inn Lower East Side,10002,216,8.1,8.7,8.2,7.8,8.7,7.4,8.6,7.9,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,3.1,0
The Marc Suites at Times Square,10019,18,8.7,8.3,8.8,9,8.1,8.8,10,9.5,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1650,0
Hotel 31,10016,2124,8.1,8.7,7.4,7.3,8.2,7.9,7.5,9.1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.6,0
Hotel Newton,10018,1317,7.7,8.1,7.3,7,7.8,7.4,4.7,8.5,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1.8,1
Four Bedroom Apartment - NYC,10027,15,8.8,9.2,8.3,8.7,9.2,8.5,8.8,9,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,3.1,0
The Modern @ Rockefeller,10036,14,8,7.9,7.5,8,7.5,7.3,9.7,3,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0.7,2
Hotel Americano,10001,251,8,8.6,7.8,7.9,8.6,7.2,8.5,8.2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1.7,0
Hotel Mela Times Square,10036,1762,7.8,8,7.5,7.1,8.1,7,6.7,9.3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0.8,1
Be Local Chinatown,10038,45,8.5,8.8,7.8,8.3,9.1,8.5,8,8.3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,3.7,0
PermaGO Wall Street,10038,98,8.3,8,8.2,8.3,8.2,8,9.3,9.1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,3.7,0
W New York - Downtown,10006,362,8,8.1,8.2,7.7,8,7.4,4.6,8.5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,4.3,0
Home Away From Home,10016,63,7.8,7.4,7.3,6.9,8.2,7.6,7.3,9.4,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1.6,1
